velocity,amplitude
119.2554,0.190196
119.2073,0.18406
119.1592,0.195429
119.1111,0.199163
119.0631,0.102498
119.015,0.103811
118.9669,0.09323
118.9188,0.007845
118.8707,0.041046
118.8227,0.112868
118.7746,0.21396
118.7265,0.14845
118.6784,-0.061652
118.6304,-0.050023
118.5823,-0.058103
118.5342,-0.047032
118.4861,-0.002294
118.438,-0.17605
118.39,-0.309771
118.3419,-0.122888
118.2938,0.11583
118.2457,0.063604
118.1976,-0.028076
118.1496,0.027784
118.1015,0.108158
118.0534,0.171922
118.0053,0.23157
117.9573,0.30197
117.9092,0.359736
117.8611,0.247947
117.813,0.057169
117.7649,0.023924
117.7169,0.055878
117.6688,-0.018041
117.6207,-0.161043
117.5726,-0.164545
117.5246,-0.015689
117.4765,0.032591
117.4284,-0.03463
117.3803,0.05113
117.3323,0.136987
117.2842,0.074585
117.2361,-0.072564
117.188,-0.180946
117.1399,-0.153577
117.0919,-0.078542
117.0438,-0.052456
116.9957,-0.114311
116.9476,-0.014611
116.8996,0.089532
116.8515,-0.024824
116.8034,-0.126921
116.7553,-0.09832
116.7072,-0.12448
116.6592,-0.24299
116.6111,-0.158093
116.563,0.045012
116.5149,0.074
116.4668,-0.096832
116.4188,-0.088375
116.3707,0.204317
116.3226,0.326416
116.2745,0.282556
116.2264,0.251822
116.1784,0.101395
116.1303,-0.222516
116.0822,-0.322089
116.0341,-0.046831
115.9861,0.107439
115.938,-0.008476
115.8899,-0.032968
115.8418,0.019328
115.7938,-0.159758
115.7457,-0.321469
115.6976,-0.384515
115.6495,-0.347281
115.6014,-0.019419
115.5534,0.0657
115.5053,-0.247343
115.4572,-0.419102
115.4091,-0.309885
115.3611,-0.152004
115.313,-0.055617
115.2649,0.125038
115.2168,0.28955
115.1687,0.211489
115.1207,0.03266
115.0726,0.096737
115.0245,0.278961
114.9764,0.268961
114.9283,0.08362
114.8803,-0.104555
114.8322,-0.09544
114.7841,0.086488
114.736,0.272477
114.688,0.200444
114.6399,-0.099182
114.5918,-0.210268
114.5437,-0.126792
114.4956,-0.102243
114.4476,-0.032959
114.3995,0.069843
114.3514,0.126543
114.3033,0.175551
114.2553,0.222852
114.2072,0.287742
114.1591,0.162965
114.111,-0.063088
114.0629,-0.055827
114.0149,0.138327
113.9668,0.142158
113.9187,-0.119648
113.8706,-0.148288
113.8226,0.018462
113.7745,-0.010523
113.7264,0.009725
113.6783,0.171538
113.6302,0.229803
113.5822,0.182395
113.5341,0.024744
113.486,-0.152152
113.4379,-0.094911
113.3898,0.088518
113.3418,0.061071
113.2937,-0.06221
113.2456,0.124678
113.1975,0.261103
113.1495,0.003254
113.1014,-0.212748
113.0533,-0.320073
113.0052,-0.360519
112.9571,-0.273852
112.9091,-0.215753
112.861,-0.152601
112.8129,-0.007736
112.7648,0.053085
112.7168,-0.097196
112.6687,-0.178944
112.6206,-0.04944
112.5725,-0.037979
112.5245,-0.101555
112.4764,0.019109
112.4283,0.11366
112.3802,0.118735
112.3321,0.064391
112.2841,-0.146579
112.236,-0.191164
112.1879,0.099224
112.1398,0.250444
112.0918,0.08702
112.0437,-0.141113
111.9956,-0.26338
111.9475,-0.102108
111.8994,0.091752
111.8514,0.099768
111.8033,0.04302
111.7552,-0.059887
111.7071,-0.034965
111.659,0.098091
111.611,0.129854
111.5629,0.032945
111.5148,-0.147367
111.4667,-0.113398
111.4187,0.090001
111.3706,0.031264
111.3225,-0.148453
111.2744,-0.203874
111.2263,-0.025009
111.1783,0.235444
111.1302,0.231154
111.0821,0.006363
111.034,-0.143758
110.986,0.03142
110.9379,0.168703
110.8898,0.108959
110.8417,0.069256
110.7936,0.02116
110.7456,-0.002049
110.6975,0.062689
110.6494,0.117988
110.6013,0.011649
110.5533,-0.072041
110.5052,-0.132927
110.4571,-0.25654
110.409,-0.267131
110.3609,-0.085044
110.3129,0.114908
110.2648,0.168406
110.2167,0.104213
110.1686,0.041996
110.1205,0.038829
110.0725,-0.05188
110.0244,-0.145021
109.9763,-0.059668
109.9282,0.099962
109.8802,0.156848
109.8321,0.192796
109.784,0.101192
109.7359,-0.053056
109.6878,0.048366
109.6398,-0.013689
109.5917,-0.16868
109.5436,-0.035474
109.4955,0.145793
109.4475,0.217251
109.3994,0.114066
109.3513,0.080834
109.3032,0.306966
